normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes
Air Force,Air Force,Air Force,Air Force,TBD,Air Force,✓
Alabama,Alabama,Alabama,Alabama,TBD,Alabama,✓
Alabama State,Alabama State,Alabama State,Alabama State Hornets,TBD,Alabama St.,✓
Appalachian State,Appalachian State,Appalachian St.,Appalachian State,TBD,Appalachian State,✓
Arizona State,Arizona State,Arizona State,Arizona State,TBD,Arizona St.,✓
Auburn,Auburn,Auburn,Auburn,TBD,Auburn,✓
Baylor,Baylor,Baylor,Baylor,TBD,Baylor,✓
Belmont,Belmont,Belmont,Belmont,TBD,Belmont,✓
Boston College,Boston College,Boston College,Boston College,TBD,Boston College,✓
Bowling Green,Bowling Green,Bowling Green,Bowling Green,TBD,Bowling Green,✓
Bradley,Bradley,Bradley,Bradley,TBD,Bradley,MISSING_DRATE
Brown,Brown,Brown,Brown,TBD,Brown,✓
Bucknell,Bucknell,Bucknell,Bucknell,TBD,Bucknell,✓
Buffalo,Buffalo,Buffalo,Buffalo,TBD,Buffalo,✓
Cal State Northridge,Cal State Northridge,CSU Northridge,Cal State Northridge Matadors,TBD,Cal State Northridge,✓
Cincinnati,Cincinnati,Cincinnati,Cincinnati,TBD,Cincinnati,✓
Colorado State,Colorado State,Colorado State,Colorado State,TBD,Colorado St.,✓
Columbia,Columbia,Columbia,Columbia,TBD,Columbia,✓
Denver,Denver,Denver,Denver Pioneers,TBD,Denver,✓
Eastern Michigan,Eastern Michigan,E. Michigan,Eastern Michigan,TBD,Eastern Michigan,✓
Fairfield,Fairfield,Fairfield,Fairfield Stags,TBD,Fairfield,✓
Fresno State,Fresno State,Fresno State,Fresno State,TBD,Fresno St.,✓
Gardner-webb,Gardner-webb,Gardner-Webb,Gardner Webb Runnin',TBD,Gardner-Webb,✓
Georgia State,Georgia State,Georgia State,Georgia State,TBD,Georgia St.,MISSING_DRATE
Gonzaga,Gonzaga,Gonzaga,Gonzaga,TBD,Gonzaga,✓
Harvard,Harvard,Harvard,Harvard Crimson,TBD,Harvard,✓
Houston,Houston,Houston,Houston,TBD,Houston,✓
Idaho,Idaho,Idaho,Idaho Vandals,TBD,Idaho,✓
Idaho State,Idaho State,Idaho State,Idaho State Bengals,TBD,Idaho St.,✓
Illinois-chicago,Illinois-chicago,,,TBD,Illinois-chicago,MISSING_HASLA|MISSING_DRATE
Indiana State,Indiana State,Indiana State,Indiana State,TBD,Indiana St.,✓
Iowa State,Iowa State,Iowa State,Iowa State,TBD,Iowa St.,✓
Jacksonville State,Jacksonville State,Jacksonville St.,Jacksonville State,TBD,Jacksonville St.,✓
Kansas,Kansas,Kansas,Kansas,TBD,Kansas,✓
Kentucky,Kentucky,Kentucky,Kentucky,TBD,Kentucky,✓
Liberty,Liberty,Liberty,Liberty,TBD,Liberty,MISSING_DRATE
Lipscomb,Lipscomb,Lipscomb,Lipscomb Bisons,TBD,Lipscomb,✓
Long Beach State,Long Beach State,Long Beach St.,Long Beach State 49ers,TBD,Long Beach St.,✓
Louisiana Tech,Louisiana Tech,LA Tech,Louisiana Tech,TBD,Louisiana Tech,✓
Manhattan,Manhattan,Manhattan,Manhattan Jaspers,TBD,Manhattan,✓
Marshall,Marshall,Marshall,Marshall,TBD,Marshall,✓
Maryland,Maryland,Maryland,Maryland,TBD,Maryland,✓
Massachusetts-lowell,Massachusetts-lowell,UMass Lowell,Umass Lowell River,TBD,Massachusetts-lowell,✓
Memphis,Memphis,Memphis,Memphis,TBD,Memphis,✓
Mercer,Mercer,Mercer,Mercer,TBD,Mercer,✓
Michigan,Michigan,Michigan,Michigan,TBD,Michigan,✓
Navy,Navy,Navy,Navy Midshipmen,TBD,Navy,✓
NC State,NC State,NC State,NC State,TBD,NC State,✓
Nc-wilmington,Nc-wilmington,UNC Wilmington,Unc Wilmington Seahawks,TBD,Nc-wilmington,✓
New Hampshire,New Hampshire,UNH,New Hampshire,TBD,New Hampshire,✓
New Mexico,New Mexico,New Mexico,New Mexico Lobos,TBD,New Mexico,✓
New Mexico State,New Mexico State,New Mexico St.,New Mexico State,TBD,New Mexico State,MISSING_HASLA
New Orleans,New Orleans,New Orleans,New Orleans,TBD,New Orleans,✓
North Dakota State,North Dakota State,North Dakota St.,North Dakota State,TBD,North Dakota St.,✓
Northern Colorado,Northern Colorado,N. Colorado,Northern Colorado,TBD,Northern Colorado,✓
Northern Kentucky,Northern Kentucky,N. Kentucky,Northern Kentucky Norse,TBD,Northern Kentucky,✓
Notre Dame,Notre Dame,Notre Dame,Notre Dame,TBD,Notre Dame,✓
Pepperdine,Pepperdine,Pepperdine,Pepperdine Waves,TBD,Pepperdine,✓
Portland,Portland,Portland,Portland Pilots,TBD,Portland,✓
Robert Morris,Robert Morris,Robert Morris,Robert Morris,TBD,Robert Morris,✓
Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's College,TBD,Saint Mary's,✓
Sam Houston State,Sam Houston State,Sam Houston,Sam Houston State Bearkats,TBD,Sam Houston State,✓
San Diego State,San Diego State,San Diego State,San Diego State,TBD,San Diego St.,✓
Seton Hall,Seton Hall,Seton Hall,Seton Hall,TBD,Seton Hall,✓
South Florida,South Florida,USF,South Florida,TBD,South Florida,✓
Southeastern Louisiana,Southeastern Louisiana,SE Louisiana,Southeastern Louisiana,TBD,Southeastern Louisiana,✓
Southern Illinois,Southern Illinois,S. Illinois,Southern Illinois,TBD,Southern Illinois,✓
Southern Indiana,Southern Indiana,S. Indiana,Southern Indiana Screaming,TBD,Southern Indiana,✓
St. Francis,St. Francis,St. Francis (PA),St. Francis,TBD,St. Francis,✓
St. John's,St. John's,St. John's,St. John's,TBD,St. John's,✓
Stonehill,Stonehill,Stonehill,Stonehill Skyhawks,TBD,Stonehill,✓
Syracuse,Syracuse,Syracuse,Syracuse,TBD,Syracuse,✓
Tennessee,Tennessee,Tennessee,Tennessee,TBD,Tennessee,✓
Tennessee Tech,Tennessee Tech,Tenn. Tech,Tennessee Tech Golden,TBD,Tennessee Tech,✓
Texas,Texas,,Texas,TBD,Texas,MISSING_HASLA
Texas Tech,Texas Tech,Texas Tech,Texas Tech,TBD,Texas Tech,✓
Toledo,Toledo,Toledo,Toledo,TBD,Toledo,✓
Troy,Troy,Troy,Troy,TBD,Troy,✓
USC,USC,USC,USC,TBD,USC,✓
Valparaiso,Valparaiso,Valparaiso,Valparaiso Beacons,TBD,Valparaiso,✓
Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,TBD,Vanderbilt,✓
Virginia Commonwealth,Virginia Commonwealth,VCU,Vcu,TBD,Virginia Commonwealth,✓
Virginia Military,Virginia Military,VMI,VMI,TBD,Virginia Military,✓
